season,week,date,time,away_team,home_team,game_url
2010,9,2010-11-07,1:03PM,New York Jets,Detroit Lions,https://www.pro-football-reference.com/boxscores/201011070det.htm
2010,9,2010-11-07,1:04PM,New Orleans Saints,Carolina Panthers,https://www.pro-football-reference.com/boxscores/201011070car.htm
2010,9,2010-11-07,1:05PM,Arizona Cardinals,Minnesota Vikings,https://www.pro-football-reference.com/boxscores/201011070min.htm
2010,9,2010-11-07,4:05PM,New York Giants,Seattle Seahawks,https://www.pro-football-reference.com/boxscores/201011070sea.htm
2010,9,2010-11-07,4:15PM,Kansas City Chiefs,Oakland Raiders,https://www.pro-football-reference.com/boxscores/201011070rai.htm
2010,9,2010-11-07,4:16PM,Indianapolis Colts,Philadelphia Eagles,https://www.pro-football-reference.com/boxscores/201011070phi.htm
2010,9,2010-11-07,8:30PM,Dallas Cowboys,Green Bay Packers,https://www.pro-football-reference.com/boxscores/201011070gnb.htm
2010,9,2010-11-08,8:40PM,Pittsburgh Steelers,Cincinnati Bengals,https://www.pro-football-reference.com/boxscores/201011080cin.htm
2010,10,2010-11-11,8:31PM,Baltimore Ravens,Atlanta Falcons,https://www.pro-football-reference.com/boxscores/201011110atl.htm
2010,10,2010-11-14,1:02PM,Detroit Lions,Buffalo Bills,https://www.pro-football-reference.com/boxscores/201011140buf.htm
2010,10,2010-11-14,1:02PM,Carolina Panthers,Tampa Bay Buccaneers,https://www.pro-football-reference.com/boxscores/201011140tam.htm
2010,10,2010-11-14,1:02PM,Minnesota Vikings,Chicago Bears,https://www.pro-football-reference.com/boxscores/201011140chi.htm
2010,10,2010-11-14,1:02PM,Cincinnati Bengals,Indianapolis Colts,https://www.pro-football-reference.com/boxscores/201011140clt.htm
2010,10,2010-11-14,1:02PM,New York Jets,Cleveland Browns,https://www.pro-football-reference.com/boxscores/201011140cle.htm
2010,10,2010-11-14,1:02PM,Tennessee Titans,Miami Dolphins,https://www.pro-football-reference.com/boxscores/201011140mia.htm
2010,10,2010-11-14,1:04PM,Houston Texans,Jacksonville Jaguars,https://www.pro-football-reference.com/boxscores/201011140jax.htm
